CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
711455133.0,55.0,M,3.0,College,Single,$120K +,Blue,36.0,5.0,3.0,3.0,12948.0,1839.0,11109.0,1.113,2481.0,42.0,0.68,0.142,Existing Customer
711874833.0,45.0,M,3.0,College,Divorced,$40K - $60K,Blue,37.0,1.0,3.0,2.0,2449.0,0.0,2449.0,0.706,5497.0,88.0,0.63,0.0,Existing Customer
720415833.0,47.0,M,2.0,High School,Married,$60K - $80K,Blue,32.0,3.0,5.0,2.0,3842.0,1563.0,2279.0,0.781,14751.0,107.0,0.726,0.407,Existing Customer
826245858.0,50.0,M,2.0,Graduate,Single,$80K - $120K,Silver,40.0,3.0,4.0,6.0,34516.0,0.0,34516.0,0.801,7661.0,79.0,1.079,0.0,Attrited Customer
709104333.0,50.0,M,5.0,Post-Graduate,Married,$120K +,Silver,36.0,5.0,2.0,4.0,34516.0,891.0,33625.0,0.926,2687.0,64.0,0.778,0.026,Existing Customer
780717483.0,51.0,F,3.0,High School,Married,Less than $40K,,40.0,6.0,,3.0,7540.0,773.0,6767.0,0.688,4755.0,58.0,0.706,0.103,Existing Customer
789347133.0,38.0,F,2.0,Post-Graduate,Married,$40K - $60K,Blue,28.0,2.0,1.0,1.0,4468.0,2395.0,2073.0,0.706,4690.0,79.0,0.756,0.536,Existing Customer
714524583.0,56.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,46.0,1.0,3.0,3.0,23240.0,1534.0,21706.0,0.971,9441.0,82.0,0.907,0.066,Attrited Customer
709987683.0,46.0,F,4.0,Graduate,Married,Unknown,Blue,36.0,4.0,3.0,4.0,2286.0,0.0,2286.0,1.057,2798.0,40.0,0.481,0.0,Attrited Customer
716456808.0,36.0,F,,High School,Single,Less than $40K,,36.0,6.0,2.0,,8087.0,1263.0,6824.0,0.615,2429.0,69.0,0.643,0.156,Existing Customer
790099758.0,40.0,M,3.0,High School,Married,$40K - $60K,Blue,33.0,,3.0,3.0,6884.0,1001.0,5883.0,0.786,975.0,11.0,0.833,0.145,Existing Customer
710310108.0,46.0,F,1.0,Doctorate,,Less than $40K,Blue,29.0,3.0,3.0,2.0,2406.0,1705.0,701.0,0.624,4665.0,89.0,0.816,0.709,Existing Customer
711197658.0,53.0,F,1.0,Post-Graduate,Single,$40K - $60K,Blue,43.0,5.0,1.0,0.0,2618.0,2026.0,592.0,0.669,4198.0,68.0,0.619,0.774,Existing Customer
710188308.0,51.0,F,3.0,Graduate,Single,Less than $40K,Blue,41.0,6.0,2.0,3.0,1519.0,1148.0,371.0,0.767,4927.0,73.0,0.738,0.756,Existing Customer
710082708.0,,M,4.0,Post-Graduate,Single,$120K +,Blue,32.0,2.0,4.0,2.0,,2102.0,21855.0,0.997,1276.0,26.0,0.733,0.088,Existing Customer
711330408.0,35.0,F,2.0,College,Married,$40K - $60K,Blue,24.0,4.0,1.0,3.0,2939.0,1865.0,1074.0,0.932,,47.0,0.679,0.635,Existing Customer
718067658.0,53.0,F,3.0,Unknown,Single,Unknown,Blue,40.0,6.0,3.0,1.0,3998.0,0.0,3998.0,,4223.0,79.0,0.717,,Existing Customer
771899433.0,48.0,M,3.0,Graduate,Married,$80K - $120K,Blue,37.0,5.0,,4.0,,2434.0,5536.0,0.406,1263.0,27.0,0.35,0.305,Attrited Customer
761240358.0,52.0,F,2.0,Unknown,Single,Less than $40K,Blue,45.0,5.0,2.0,2.0,2155.0,1219.0,936.0,0.805,4295.0,77.0,0.791,0.566,Existing Customer
801502008.0,37.0,M,1.0,Graduate,Married,$60K - $80K,Blue,31.0,5.0,1.0,2.0,20144.0,1195.0,18949.0,0.67,14287.0,106.0,,0.059,Existing Customer
710166783.0,49.0,F,1.0,Graduate,Married,Less than $40K,Blue,36.0,3.0,3.0,0.0,8228.0,0.0,8228.0,0.942,4277.0,80.0,0.702,0.0,Existing Customer
711835758.0,50.0,M,3.0,Graduate,Married,,Blue,42.0,4.0,5.0,3.0,34516.0,2099.0,32417.0,0.449,1756.0,35.0,0.25,0.061,Existing Customer
744483633.0,35.0,M,3.0,Graduate,Married,$120K +,Blue,28.0,4.0,3.0,2.0,14869.0,0.0,14869.0,1.624,2753.0,48.0,1.087,0.0,Existing Customer
718509858.0,46.0,M,3.0,,Married,$80K - $120K,Blue,37.0,3.0,1.0,4.0,4786.0,0.0,4786.0,0.789,4347.0,69.0,0.683,0.0,Existing Customer
787909158.0,40.0,F,3.0,Graduate,Divorced,Less than $40K,Blue,31.0,1.0,3.0,2.0,8694.0,1117.0,7577.0,0.842,9523.0,105.0,0.694,0.128,Existing Customer
714963558.0,46.0,M,3.0,Graduate,Single,$40K - $60K,Blue,36.0,4.0,2.0,3.0,1438.3,0.0,1438.3,0.951,4374.0,71.0,0.775,0.0,Existing Customer
773185833.0,49.0,M,3.0,High School,,$60K - $80K,Gold,,3.0,1.0,4.0,34516.0,0.0,34516.0,0.838,15095.0,102.0,0.759,,Existing Customer
789556533.0,52.0,M,4.0,Graduate,Married,$80K - $120K,Blue,45.0,2.0,2.0,3.0,23070.0,1701.0,21369.0,0.846,8070.0,81.0,0.688,0.074,Existing Customer
712138983.0,54.0,M,1.0,Graduate,Married,$60K - $80K,Blue,36.0,3.0,3.0,2.0,2947.0,2216.0,731.0,0.76,1744.0,53.0,0.606,0.752,Existing Customer
758408883.0,37.0,F,1.0,Graduate,Unknown,$40K - $60K,Blue,30.0,5.0,3.0,4.0,13355.0,1631.0,11724.0,1.113,1921.0,37.0,0.85,0.122,Existing Customer
718343058.0,52.0,F,2.0,High School,Divorced,Less than $40K,Blue,40.0,,2.0,3.0,5240.0,2517.0,2723.0,0.78,14161.0,105.0,0.875,0.48,Existing Customer
806226933.0,37.0,M,2.0,High School,Unknown,$120K +,Blue,32.0,6.0,1.0,1.0,34516.0,0.0,34516.0,0.928,3660.0,59.0,1.107,0.0,Existing Customer
714868608.0,52.0,F,4.0,Graduate,Married,Less than $40K,Blue,36.0,6.0,3.0,1.0,3021.0,1530.0,1491.0,0.731,4105.0,76.0,0.767,0.506,Existing Customer
714032883.0,45.0,M,2.0,College,Unknown,$40K - $60K,Blue,36.0,1.0,1.0,1.0,4718.0,1591.0,3127.0,0.927,4598.0,,1.0,0.337,Existing Customer
714469008.0,40.0,F,2.0,Unknown,Single,$40K - $60K,Blue,29.0,1.0,3.0,3.0,2351.0,1337.0,1014.0,0.613,5115.0,84.0,0.787,0.569,Existing Customer
709373883.0,37.0,F,5.0,Unknown,Married,$40K - $60K,Silver,36.0,1.0,1.0,2.0,19055.0,2517.0,16538.0,0.915,15091.0,124.0,0.676,0.132,Existing Customer
721038408.0,38.0,F,2.0,High School,Married,Less than $40K,Blue,27.0,4.0,1.0,2.0,1830.0,0.0,1830.0,0.736,1741.0,43.0,0.654,0.0,Existing Customer
717661908.0,37.0,M,5.0,Doctorate,Single,$80K - $120K,Silver,36.0,,1.0,1.0,,0.0,,0.711,2681.0,55.0,0.618,0.0,Existing Customer
719539458.0,46.0,F,3.0,Graduate,Single,Less than $40K,Blue,41.0,5.0,3.0,3.0,3913.0,0.0,3913.0,0.722,5170.0,93.0,0.86,0.0,Existing Customer
721445658.0,52.0,F,2.0,Post-Graduate,Single,Less than $40K,Blue,34.0,3.0,3.0,3.0,6265.0,1677.0,4588.0,0.769,8162.0,89.0,,0.268,Existing Customer
710562258.0,44.0,M,1.0,Graduate,Married,$80K - $120K,Blue,33.0,,4.0,3.0,,0.0,19214.0,0.998,3407.0,47.0,1.136,0.0,Existing Customer
711390333.0,59.0,M,0.0,Post-Graduate,Married,$80K - $120K,Blue,46.0,5.0,4.0,2.0,6526.0,489.0,6037.0,0.678,2331.0,45.0,0.452,0.075,Attrited Customer
789853533.0,,M,3.0,High School,Married,,Blue,44.0,2.0,1.0,5.0,3032.0,0.0,3032.0,0.949,1037.0,14.0,2.5,0.0,Attrited Customer
789097833.0,39.0,F,0.0,High School,Single,Less than $40K,Blue,27.0,4.0,3.0,3.0,3927.0,720.0,3207.0,0.63,4230.0,93.0,0.898,0.183,Existing Customer
711328458.0,58.0,M,1.0,High School,Married,$80K - $120K,Blue,50.0,1.0,1.0,3.0,34516.0,1341.0,33175.0,0.812,13988.0,127.0,0.789,0.039,Existing Customer
718677858.0,39.0,M,1.0,College,Married,Less than $40K,Blue,27.0,4.0,2.0,2.0,2283.0,1053.0,1230.0,0.854,4571.0,72.0,0.756,0.461,Existing Customer
720408708.0,49.0,F,2.0,Uneducated,Married,Less than $40K,Blue,36.0,3.0,4.0,1.0,2505.0,0.0,2505.0,0.62,4109.0,61.0,0.743,0.0,Existing Customer
771529608.0,50.0,M,2.0,High School,Married,$120K +,Blue,38.0,5.0,6.0,0.0,10747.0,1027.0,9720.0,0.925,4538.0,63.0,0.658,0.096,Existing Customer
818767458.0,41.0,M,3.0,Graduate,Married,$120K +,Blue,36.0,2.0,3.0,2.0,6565.0,1130.0,5435.0,0.823,7729.0,97.0,0.644,0.172,Existing Customer
784998108.0,33.0,M,3.0,High School,Married,$80K - $120K,Blue,22.0,5.0,3.0,2.0,9094.0,0.0,9094.0,0.631,4203.0,76.0,0.727,0.0,Existing Customer
807393558.0,51.0,M,4.0,,Single,$120K +,Silver,,2.0,3.0,3.0,34516.0,1279.0,33237.0,1.02,,49.0,0.581,0.037,Attrited Customer
718538958.0,55.0,F,3.0,College,Single,Less than $40K,Blue,43.0,6.0,3.0,4.0,1844.0,0.0,1844.0,0.729,4564.0,82.0,0.608,0.0,Existing Customer
708121908.0,48.0,M,4.0,Unknown,Married,$80K - $120K,Blue,36.0,2.0,3.0,2.0,22917.0,0.0,22917.0,0.574,2045.0,45.0,0.5,0.0,Attrited Customer
771354633.0,58.0,M,1.0,College,Single,$80K - $120K,Blue,45.0,5.0,3.0,4.0,1854.0,1480.0,374.0,0.853,3292.0,73.0,0.921,0.798,Existing Customer
802455633.0,56.0,F,1.0,Unknown,Single,Less than $40K,Blue,50.0,4.0,4.0,1.0,1698.0,0.0,1698.0,0.847,4371.0,74.0,0.897,0.0,Existing Customer
788785083.0,44.0,F,3.0,College,Unknown,Less than $40K,Blue,25.0,6.0,3.0,2.0,3083.0,1040.0,2043.0,0.729,4311.0,78.0,0.56,0.337,Existing Customer
,56.0,F,2.0,Graduate,Married,Less than $40K,Blue,45.0,4.0,3.0,3.0,2665.0,1844.0,821.0,0.554,,58.0,0.758,0.692,Existing Customer
716044383.0,41.0,F,3.0,High School,Unknown,Unknown,Blue,36.0,5.0,1.0,2.0,5869.0,0.0,5869.0,0.713,4191.0,65.0,0.857,0.0,Existing Customer
778992108.0,57.0,M,2.0,Unknown,Married,$120K +,Blue,45.0,5.0,3.0,3.0,5266.0,0.0,5266.0,1.702,1516.0,29.0,1.636,0.0,Existing Customer
710497608.0,38.0,M,2.0,Uneducated,Single,$40K - $60K,Blue,36.0,5.0,1.0,2.0,7756.0,1670.0,6086.0,0.78,1858.0,51.0,0.545,0.215,Existing Customer
826168083.0,49.0,F,4.0,Unknown,Divorced,Less than $40K,Blue,,,,3.0,1757.0,1307.0,450.0,0.769,4750.0,72.0,0.756,0.744,Existing Customer
718325883.0,39.0,M,2.0,Uneducated,Single,$40K - $60K,Blue,32.0,6.0,3.0,2.0,7723.0,1902.0,5821.0,1.181,1241.0,22.0,1.0,0.246,Existing Customer
714850158.0,49.0,M,4.0,Graduate,Single,$80K - $120K,Blue,36.0,5.0,1.0,3.0,1963.0,1516.0,447.0,0.872,4150.0,75.0,0.744,0.772,Existing Customer
810261633.0,44.0,M,4.0,Graduate,Single,$60K - $80K,Blue,39.0,2.0,2.0,3.0,9682.0,1727.0,7955.0,0.88,14991.0,95.0,0.9,0.178,Existing Customer
717045033.0,45.0,F,3.0,Unknown,Married,Unknown,Blue,36.0,6.0,1.0,3.0,8459.0,757.0,7702.0,0.648,4677.0,87.0,0.673,0.089,Existing Customer
719445633.0,60.0,F,0.0,Uneducated,Married,,Blue,36.0,4.0,2.0,3.0,1601.0,0.0,1601.0,0.829,4919.0,69.0,1.091,0.0,Existing Customer
715168983.0,47.0,F,3.0,Graduate,Married,Less than $40K,Blue,36.0,5.0,2.0,2.0,7051.0,0.0,7051.0,0.527,1451.0,37.0,0.194,0.0,Existing Customer
721129383.0,53.0,F,1.0,Doctorate,Married,Less than $40K,Blue,36.0,3.0,1.0,2.0,3128.0,2517.0,,0.696,2361.0,42.0,0.826,,Existing Customer
789508758.0,54.0,F,2.0,Unknown,Single,Less than $40K,Blue,46.0,3.0,,3.0,4170.0,641.0,3529.0,0.815,,67.0,0.595,0.154,Existing Customer
718050033.0,54.0,M,2.0,College,Married,$120K +,Blue,43.0,3.0,2.0,3.0,5657.0,1719.0,3938.0,0.606,2028.0,55.0,0.667,0.304,Existing Customer
758617233.0,56.0,F,5.0,Doctorate,Single,Less than $40K,Blue,49.0,3.0,3.0,2.0,4132.0,1559.0,2573.0,0.827,14781.0,108.0,0.688,0.377,Existing Customer
710106933.0,32.0,M,2.0,Uneducated,Single,$80K - $120K,Silver,20.0,2.0,3.0,3.0,34516.0,2136.0,32380.0,0.849,14667.0,119.0,0.75,0.062,Existing Customer
716411358.0,,F,3.0,Uneducated,Single,Less than $40K,Blue,36.0,5.0,5.0,3.0,2652.0,0.0,2652.0,0.665,4676.0,78.0,0.773,0.0,Existing Customer
819189108.0,63.0,M,0.0,College,Single,$80K - $120K,Blue,56.0,6.0,,2.0,,0.0,9033.0,0.78,4456.0,85.0,0.635,0.0,Existing Customer
780833058.0,46.0,M,2.0,High School,Married,$40K - $60K,,32.0,4.0,3.0,2.0,2619.0,,348.0,0.61,3835.0,60.0,0.818,0.867,Existing Customer
805261983.0,35.0,F,4.0,Unknown,Married,Less than $40K,Blue,30.0,6.0,3.0,4.0,1626.0,,647.0,1.467,2847.0,,0.968,0.602,Existing Customer
719770158.0,54.0,F,3.0,Post-Graduate,Single,Less than $40K,Blue,49.0,1.0,4.0,3.0,8516.0,0.0,8516.0,0.549,2189.0,37.0,0.276,0.0,Attrited Customer
712524858.0,34.0,M,1.0,Graduate,Single,Less than $40K,Blue,28.0,1.0,6.0,3.0,2669.0,1649.0,1020.0,0.63,4314.0,74.0,0.609,0.618,Existing Customer
759823158.0,46.0,M,1.0,Unknown,Married,$60K - $80K,Blue,39.0,4.0,3.0,3.0,5374.0,2324.0,3050.0,0.423,1557.0,49.0,0.4,0.432,Existing Customer
788019483.0,49.0,M,3.0,Graduate,Married,$80K - $120K,Blue,40.0,4.0,1.0,3.0,3660.0,766.0,2894.0,0.535,14515.0,122.0,0.848,0.209,Existing Customer
717466158.0,48.0,F,2.0,Doctorate,Married,Less than $40K,Blue,40.0,3.0,4.0,3.0,4176.0,1248.0,2928.0,0.434,4889.0,62.0,0.632,0.299,Existing Customer
806637558.0,58.0,M,1.0,High School,Married,$60K - $80K,Blue,53.0,5.0,2.0,5.0,1438.3,0.0,1438.3,0.425,1539.0,40.0,0.6,0.0,Existing Customer
714997683.0,56.0,F,,Graduate,Married,Unknown,Blue,49.0,5.0,1.0,3.0,14915.0,1111.0,13804.0,0.846,1388.0,35.0,0.667,0.074,Existing Customer
715649358.0,39.0,M,2.0,College,Married,$60K - $80K,Blue,26.0,1.0,,2.0,3879.0,0.0,3879.0,0.928,7786.0,81.0,0.929,0.0,Attrited Customer
717442758.0,51.0,F,4.0,,Married,$40K - $60K,Blue,43.0,5.0,3.0,2.0,8346.0,1452.0,6894.0,1.194,4141.0,79.0,,0.174,Existing Customer
711688983.0,51.0,M,2.0,Unknown,Divorced,$80K - $120K,Blue,38.0,4.0,2.0,3.0,21382.0,1692.0,19690.0,0.731,3060.0,66.0,0.65,0.079,Existing Customer
779351208.0,49.0,M,2.0,Unknown,Single,$60K - $80K,Blue,34.0,4.0,1.0,4.0,5176.0,0.0,5176.0,,1902.0,56.0,0.931,0.0,Existing Customer
720887058.0,51.0,F,1.0,Unknown,Married,Unknown,Blue,35.0,1.0,2.0,3.0,3668.0,0.0,3668.0,0.655,4753.0,87.0,0.812,0.0,Existing Customer
718788258.0,52.0,M,5.0,Unknown,Married,$80K - $120K,Blue,40.0,3.0,3.0,4.0,30314.0,776.0,29538.0,0.705,3290.0,82.0,0.64,0.026,Existing Customer
803421108.0,49.0,M,4.0,Graduate,Single,$80K - $120K,Blue,43.0,1.0,2.0,2.0,20701.0,2517.0,18184.0,1.023,14374.0,113.0,0.823,0.122,Existing Customer
721212258.0,48.0,M,4.0,High School,Single,$120K +,Blue,40.0,2.0,3.0,3.0,30210.0,1946.0,28264.0,0.904,7403.0,88.0,0.544,0.064,Existing Customer
715129983.0,46.0,F,3.0,Graduate,Divorced,Unknown,Blue,36.0,1.0,3.0,2.0,3515.0,0.0,3515.0,0.876,15079.0,116.0,0.841,,Existing Customer
708423933.0,51.0,M,2.0,Doctorate,Single,$40K - $60K,Blue,,3.0,2.0,0.0,6103.0,0.0,,0.532,,64.0,0.829,0.0,Existing Customer
789301458.0,41.0,F,4.0,High School,Married,Unknown,Blue,30.0,5.0,2.0,2.0,,1620.0,7519.0,,4675.0,78.0,1.108,0.177,Existing Customer
785038908.0,43.0,F,0.0,Graduate,Married,Less than $40K,Blue,,3.0,1.0,4.0,6380.0,1160.0,5220.0,0.753,17119.0,124.0,,,Existing Customer
720430083.0,65.0,M,0.0,High School,Unknown,Less than $40K,Blue,36.0,3.0,3.0,2.0,2107.0,1008.0,1099.0,0.953,3913.0,67.0,0.523,0.478,Existing Customer
710854008.0,48.0,M,3.0,Unknown,Unknown,$40K - $60K,Blue,37.0,3.0,2.0,4.0,6541.0,1119.0,,0.496,3902.0,63.0,0.432,0.171,Existing Customer
708714108.0,42.0,F,3.0,,Single,Less than $40K,Silver,31.0,5.0,2.0,3.0,13441.0,2517.0,10924.0,0.734,1894.0,,0.633,0.187,Existing Customer
720494058.0,51.0,F,2.0,,Married,Less than $40K,Blue,25.0,4.0,3.0,3.0,3042.0,,3042.0,0.578,4781.0,79.0,0.756,0.0,Existing Customer
714192033.0,43.0,F,3.0,,Single,Unknown,Blue,25.0,5.0,1.0,2.0,10305.0,1870.0,8435.0,0.722,4018.0,63.0,0.8,0.181,Existing Customer
789842283.0,54.0,M,2.0,Graduate,Married,$60K - $80K,Blue,42.0,3.0,3.0,2.0,4320.0,0.0,4320.0,0.967,706.0,21.0,0.5,0.0,Attrited Customer
815015283.0,43.0,F,4.0,Graduate,Married,Less than $40K,Blue,38.0,4.0,2.0,2.0,,1650.0,1005.0,0.701,4025.0,62.0,0.59,0.621,Existing Customer
755365233.0,34.0,M,1.0,Graduate,Unknown,$60K - $80K,Blue,27.0,5.0,2.0,4.0,19900.0,1581.0,18319.0,0.838,3948.0,96.0,0.846,0.079,Existing Customer
801709308.0,44.0,F,4.0,Uneducated,Married,Unknown,Blue,38.0,6.0,1.0,2.0,5366.0,968.0,4398.0,0.992,4558.0,56.0,0.75,0.18,Existing Customer
819606258.0,48.0,M,4.0,Unknown,Married,$60K - $80K,Blue,43.0,5.0,3.0,3.0,8737.0,1629.0,7108.0,0.618,3876.0,55.0,0.774,0.186,Existing Customer
714156633.0,60.0,F,0.0,Unknown,Single,Unknown,Blue,36.0,3.0,3.0,2.0,3068.0,0.0,3068.0,0.897,4533.0,79.0,0.795,0.0,Existing Customer
713205108.0,42.0,F,4.0,Graduate,Married,$40K - $60K,Blue,27.0,3.0,1.0,1.0,1950.0,1062.0,888.0,0.48,3873.0,76.0,0.854,0.545,Existing Customer
812230308.0,47.0,M,2.0,Graduate,Married,$40K - $60K,Blue,42.0,2.0,3.0,3.0,2430.0,1657.0,773.0,0.659,8444.0,100.0,,0.682,Existing Customer
789182358.0,56.0,M,1.0,Uneducated,Single,$80K - $120K,Blue,45.0,3.0,1.0,2.0,17628.0,1414.0,16214.0,0.603,3991.0,76.0,0.617,0.08,Existing Customer
781930233.0,47.0,F,2.0,High School,,Less than $40K,Blue,37.0,6.0,1.0,1.0,2946.0,2338.0,608.0,0.58,4717.0,70.0,0.628,0.794,Existing Customer
717499083.0,35.0,M,0.0,Unknown,Single,$60K - $80K,Blue,36.0,3.0,1.0,2.0,17236.0,0.0,17236.0,0.958,3013.0,78.0,0.696,0.0,Existing Customer
708324483.0,47.0,F,4.0,Unknown,Single,Less than $40K,Blue,39.0,3.0,3.0,4.0,,0.0,1548.0,0.664,4420.0,71.0,0.775,0.0,Existing Customer
,43.0,M,4.0,,Single,$60K - $80K,Blue,24.0,,3.0,2.0,19188.0,0.0,19188.0,0.453,4366.0,69.0,0.816,0.0,Existing Customer
708876183.0,51.0,M,1.0,High School,Single,$60K - $80K,Silver,43.0,2.0,3.0,2.0,28673.0,0.0,28673.0,0.537,3722.0,69.0,0.725,0.0,Existing Customer
822170733.0,45.0,F,4.0,College,Single,Less than $40K,Blue,41.0,6.0,3.0,2.0,3785.0,2517.0,1268.0,0.574,2401.0,54.0,0.742,0.665,Attrited Customer
779217333.0,59.0,F,0.0,Graduate,Divorced,Less than $40K,Blue,49.0,6.0,2.0,3.0,2228.0,1502.0,726.0,0.719,3922.0,75.0,1.027,0.674,Existing Customer
717100833.0,37.0,F,2.0,High School,Married,Less than $40K,Blue,27.0,6.0,6.0,2.0,3148.0,0.0,3148.0,0.498,1401.0,31.0,0.722,0.0,Existing Customer
717929133.0,,M,1.0,Uneducated,Married,$60K - $80K,Blue,36.0,5.0,2.0,,14450.0,2440.0,12010.0,1.283,1235.0,,0.667,0.169,Existing Customer
708770883.0,,M,2.0,Uneducated,Married,,Blue,24.0,2.0,2.0,2.0,16667.0,1463.0,15204.0,0.803,15301.0,,0.797,0.088,Existing Customer
770766633.0,28.0,F,1.0,Post-Graduate,Single,Less than $40K,Blue,14.0,2.0,3.0,3.0,3848.0,0.0,3848.0,0.841,14054.0,105.0,0.694,0.0,Existing Customer
718324983.0,60.0,F,0.0,College,Married,Less than $40K,Blue,49.0,5.0,3.0,3.0,1634.0,1155.0,479.0,0.874,4522.0,83.0,0.766,0.707,Existing Customer
721004133.0,38.0,F,2.0,Graduate,Single,Less than $40K,Blue,25.0,6.0,2.0,2.0,1438.3,538.0,900.3,0.675,4093.0,73.0,0.659,0.374,Existing Customer
771201408.0,53.0,F,3.0,Graduate,Divorced,Less than $40K,Blue,40.0,3.0,2.0,3.0,2684.0,2126.0,558.0,0.69,5299.0,75.0,0.875,0.792,Existing Customer
780466533.0,54.0,M,3.0,Doctorate,Married,$120K +,Blue,41.0,3.0,3.0,0.0,21592.0,1676.0,19916.0,1.097,1873.0,52.0,0.529,0.078,Existing Customer
,40.0,F,4.0,Graduate,Single,Less than $40K,Blue,27.0,6.0,2.0,3.0,3751.0,1521.0,,,1060.0,30.0,1.308,0.405,Existing Customer
789175683.0,49.0,F,2.0,College,Married,Less than $40K,Silver,38.0,2.0,3.0,2.0,10741.0,2517.0,8224.0,1.087,8352.0,71.0,0.821,0.234,Existing Customer
804310758.0,58.0,M,3.0,Graduate,Married,$120K +,Blue,52.0,5.0,2.0,5.0,17934.0,1578.0,16356.0,0.593,2005.0,48.0,0.778,0.088,Existing Customer
789095958.0,50.0,M,1.0,Unknown,Single,$60K - $80K,Blue,38.0,4.0,3.0,3.0,7603.0,744.0,6859.0,0.711,2497.0,42.0,0.273,0.098,Attrited Customer
714657108.0,37.0,F,2.0,Uneducated,Married,Less than $40K,Blue,28.0,5.0,2.0,4.0,6660.0,1362.0,5298.0,1.36,2660.0,51.0,0.759,0.205,Existing Customer
713710383.0,43.0,M,2.0,High School,Unknown,$80K - $120K,Blue,30.0,4.0,2.0,1.0,18008.0,2517.0,15491.0,0.775,2659.0,55.0,0.833,0.14,Existing Customer
709791333.0,40.0,F,3.0,Uneducated,Single,Less than $40K,Blue,36.0,6.0,1.0,3.0,2040.0,1084.0,956.0,0.672,4751.0,80.0,0.818,0.531,Existing Customer
,57.0,F,2.0,Uneducated,Married,Unknown,Blue,47.0,3.0,,2.0,3136.0,2138.0,998.0,0.699,4930.0,80.0,0.739,,Existing Customer
,47.0,F,2.0,,Single,Less than $40K,Blue,40.0,4.0,3.0,3.0,1789.0,1088.0,701.0,0.683,4191.0,90.0,0.525,0.608,Existing Customer
817663908.0,60.0,F,1.0,Graduate,Married,$40K - $60K,Blue,42.0,5.0,,3.0,5903.0,1335.0,4568.0,0.914,1137.0,27.0,0.929,0.226,Existing Customer
785237958.0,45.0,M,5.0,College,Married,$60K - $80K,Blue,39.0,2.0,3.0,3.0,3439.0,0.0,3439.0,0.825,2661.0,35.0,0.296,0.0,Attrited Customer
717457008.0,43.0,M,3.0,Uneducated,Single,$40K - $60K,Blue,36.0,3.0,3.0,3.0,9267.0,0.0,9267.0,0.866,7991.0,90.0,1.093,0.0,Attrited Customer
769576608.0,62.0,M,1.0,Uneducated,Single,$60K - $80K,Blue,49.0,4.0,1.0,2.0,12814.0,1010.0,11804.0,0.869,3566.0,76.0,0.551,0.079,Existing Customer
718653333.0,45.0,F,2.0,College,Single,Less than $40K,Blue,33.0,1.0,3.0,3.0,1833.0,0.0,1833.0,0.549,2037.0,31.0,0.292,0.0,Attrited Customer
