CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
719580033.0,Existing Customer,54.0,M,1.0,Graduate,Unknown,$60K - $80K,Blue,43.0,4.0,2.0,3.0,2910.0,2030.0,880.0,0.769,1256.0,21.0,0.4,0.698,0.00017969,0.99982
820582308.0,Existing Customer,42.0,,,Uneducated,Married,$80K - $120K,Blue,37.0,6.0,2.0,2.0,22913.0,1528.0,21385.0,0.414,1394.0,35.0,0.522,0.067,0.00012082,
789973308.0,Existing Customer,44.0,M,1.0,College,Single,$60K - $80K,Blue,35.0,3.0,3.0,3.0,24312.0,1932.0,22380.0,1.312,1341.0,24.0,1.182,0.079,0.00027607,0.99972
712876233.0,Existing Customer,53.0,M,2.0,Graduate,Single,$80K - $120K,Blue,36.0,5.0,3.0,2.0,5272.0,1515.0,3757.0,0.857,1289.0,33.0,0.435,0.287,0.00017987,0.99982
804595158.0,Existing Customer,44.0,F,4.0,Graduate,Single,Less than $40K,Blue,36.0,6.0,4.0,2.0,7000.0,2517.0,4483.0,0.475,1112.0,23.0,,0.36,0.00022797,0.99977
714826758.0,Existing Customer,37.0,F,3.0,Uneducated,Single,Less than $40K,Blue,29.0,4.0,4.0,2.0,7038.0,1801.0,5237.0,0.751,2339.0,57.0,0.966,0.256,0.00023192,0.99977
779058108.0,Existing Customer,49.0,M,3.0,Graduate,Divorced,$60K - $80K,Blue,30.0,6.0,1.0,2.0,2536.0,1823.0,713.0,0.703,1468.0,23.0,0.353,0.719,5.7151e-05,0.99994
710790258.0,,47.0,,2.0,Graduate,Married,$80K - $120K,Blue,38.0,,3.0,2.0,28904.0,1899.0,27005.0,0.85,1334.0,35.0,0.4,0.066,0.00017987,0.99982
715623483.0,,47.0,M,3.0,Graduate,Married,$60K - $80K,Blue,37.0,,4.0,,8567.0,1695.0,6872.0,1.242,1457.0,41.0,1.412,0.198,8.3212e-05,0.99992
715156383.0,Existing Customer,44.0,M,1.0,Unknown,,$120K +,Blue,36.0,6.0,2.0,2.0,34516.0,1533.0,32983.0,0.924,1603.0,29.0,0.526,0.044,0.00011743,0.99988
711013983.0,Attrited Customer,55.0,F,4.0,Unknown,Married,$40K - $60K,Blue,45.0,2.0,4.0,3.0,2158.0,0.0,2158.0,0.585,615.0,12.0,0.714,0.0,0.99763,0.00236635
755420433.0,Existing Customer,59.0,F,1.0,Graduate,Married,Unknown,Blue,52.0,2.0,3.0,3.0,10133.0,1417.0,8716.0,0.383,1068.0,20.0,0.818,0.14,0.00028395,0.99972
794543958.0,Existing Customer,53.0,M,1.0,Graduate,Divorced,$80K - $120K,Blue,,5.0,4.0,2.0,34516.0,1219.0,33297.0,1.129,1590.0,,2.0,,0.00020404,0.9998
716396358.0,Existing Customer,52.0,M,2.0,Graduate,Married,$60K - $80K,Blue,47.0,5.0,3.0,0.0,3085.0,1910.0,1175.0,0.921,1531.0,35.0,0.667,0.619,6.6354e-05,0.99993
715398033.0,Existing Customer,53.0,M,2.0,High School,Single,$120K +,Blue,35.0,4.0,2.0,1.0,19040.0,2056.0,16984.0,0.607,1212.0,31.0,0.722,0.108,6.6728e-05,0.99993
711743883.0,,43.0,F,3.0,Uneducated,Single,Less than $40K,Blue,35.0,5.0,2.0,3.0,,0.0,4026.0,0.483,1237.0,,0.6,0.0,0.00020424,0.9998
719720058.0,Existing Customer,44.0,M,3.0,High School,Single,,Blue,31.0,4.0,3.0,1.0,12756.0,837.0,11919.0,1.932,1413.0,14.0,1.8,0.066,0.00010943,0.99989
778992108.0,Existing Customer,57.0,M,2.0,Unknown,Married,$120K +,Blue,45.0,5.0,3.0,3.0,5266.0,0.0,5266.0,1.702,1516.0,29.0,1.636,0.0,0.00033251,0.99967
717539808.0,Existing Customer,51.0,F,2.0,High School,Single,Less than $40K,Blue,36.0,3.0,2.0,2.0,9930.0,0.0,9930.0,0.731,1276.0,21.0,1.333,0.0,0.00011065,0.99989
714070758.0,Existing Customer,49.0,M,4.0,,Single,$80K - $120K,Blue,38.0,4.0,3.0,0.0,31302.0,1953.0,29349.0,0.875,1564.0,35.0,2.182,0.062,6.765e-05,0.99993
714107958.0,Existing Customer,45.0,M,1.0,Graduate,Single,,Blue,36.0,4.0,4.0,3.0,6576.0,0.0,6576.0,0.579,1465.0,34.0,,,0.00034315,0.99966
789140283.0,Existing Customer,53.0,M,0.0,Graduate,,$80K - $120K,Blue,42.0,5.0,4.0,1.0,2664.0,2037.0,,0.85,1286.0,29.0,0.933,,0.0001125,0.99989
715550508.0,Existing Customer,45.0,F,3.0,Unknown,Married,Unknown,Blue,28.0,5.0,1.0,2.0,2535.0,2440.0,95.0,1.705,1312.0,20.0,1.222,0.963,6.282e-05,0.99994
719712633.0,Existing Customer,64.0,M,1.0,Graduate,Married,Less than $40K,Blue,52.0,,4.0,3.0,1709.0,895.0,814.0,1.656,1673.0,32.0,0.882,0.524,0.00034315,0.99966
772629333.0,Existing Customer,45.0,M,3.0,Graduate,Married,$40K - $60K,Blue,35.0,5.0,4.0,2.0,3454.0,1200.0,,0.597,1313.0,30.0,0.304,0.347,0.00022556,0.99977
720336708.0,Existing Customer,53.0,M,3.0,Doctorate,Married,$40K - $60K,Blue,35.0,5.0,3.0,2.0,3789.0,1706.0,2083.0,1.047,1609.0,42.0,0.68,0.45,0.00027008,0.99973
802013583.0,Existing Customer,56.0,M,3.0,College,Married,$120K +,Blue,50.0,3.0,2.0,0.0,9689.0,2250.0,7439.0,0.576,1158.0,19.0,0.727,0.232,4.2358e-05,0.99996
,Attrited Customer,47.0,M,2.0,Unknown,,$80K - $120K,Blue,37.0,2.0,3.0,3.0,,1628.0,3821.0,0.696,836.0,18.0,0.385,0.299,0.997,0.00299743
714778833.0,Existing Customer,49.0,F,3.0,,Single,Unknown,Blue,43.0,4.0,4.0,,23032.0,1960.0,21072.0,0.619,1289.0,,1.0,0.085,8.0901e-05,0.99992
713843283.0,Existing Customer,41.0,F,,Unknown,Married,Unknown,Silver,,5.0,3.0,3.0,34516.0,2053.0,32463.0,1.034,1487.0,26.0,0.733,0.059,0.00031177,
779155158.0,Existing Customer,53.0,M,3.0,Graduate,Married,,Blue,34.0,6.0,2.0,,2940.0,1264.0,1676.0,0.562,,33.0,0.5,0.43,0.00011811,0.99988
721091583.0,Existing Customer,44.0,F,2.0,Graduate,Single,Less than $40K,Blue,32.0,3.0,3.0,3.0,3031.0,1879.0,1152.0,0.788,,15.0,1.5,0.62,0.00030251,
713572683.0,Existing Customer,,M,3.0,High School,Unknown,$60K - $80K,Blue,25.0,,3.0,0.0,1862.0,0.0,1862.0,0.883,1226.0,34.0,0.789,0.0,6.6935e-05,0.99993
716657058.0,Existing Customer,43.0,F,4.0,Post-Graduate,Married,Less than $40K,Blue,33.0,2.0,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.111,0.00037329,0.99963
779509983.0,Existing Customer,53.0,M,2.0,Post-Graduate,Single,$120K +,Blue,36.0,6.0,1.0,2.0,34516.0,,33585.0,0.828,1022.0,21.0,1.1,0.027,6.4807e-05,0.99994
717929133.0,Existing Customer,,M,1.0,Uneducated,Married,$60K - $80K,Blue,36.0,5.0,2.0,,14450.0,2440.0,12010.0,1.283,1235.0,,0.667,0.169,0.00018475,0.99982
808284783.0,Existing Customer,62.0,F,1.0,Unknown,Married,Less than $40K,Blue,,6.0,0.0,0.0,1438.3,0.0,1438.3,0.813,1951.0,44.0,1.095,0.0,7.7559e-06,0.99999
708476808.0,Existing Customer,54.0,M,4.0,Unknown,Divorced,$120K +,Blue,36.0,6.0,3.0,2.0,33791.0,1960.0,31831.0,0.618,1047.0,31.0,0.824,0.058,0.00020735,0.99979
710916408.0,Existing Customer,57.0,M,4.0,Graduate,Married,$60K - $80K,Blue,39.0,4.0,3.0,0.0,8466.0,1886.0,6580.0,0.56,1342.0,32.0,0.391,0.223,6.9589e-05,0.99993
708492558.0,Existing Customer,42.0,M,3.0,Unknown,Married,$60K - $80K,Blue,,5.0,3.0,3.0,15088.0,,14223.0,0.939,1107.0,21.0,1.625,0.057,0.00034503,0.99965
799825758.0,Existing Customer,42.0,M,4.0,High School,Divorced,$60K - $80K,Blue,36.0,5.0,1.0,2.0,3263.0,1674.0,1589.0,0.588,1251.0,35.0,0.346,0.513,5.6153e-05,0.99994
718619883.0,Existing Customer,54.0,F,0.0,Uneducated,Married,Less than $40K,Blue,36.0,2.0,2.0,2.0,1494.0,706.0,788.0,1.674,1305.0,24.0,3.0,0.473,0.00010043,0.9999
711844758.0,Existing Customer,48.0,M,3.0,Graduate,Single,$80K - $120K,Blue,35.0,6.0,1.0,0.0,13551.0,1294.0,12257.0,0.791,1388.0,37.0,1.056,0.095,2.1081e-05,0.99998
714798783.0,Existing Customer,49.0,M,1.0,Graduate,Single,$80K - $120K,Blue,36.0,6.0,2.0,2.0,18886.0,895.0,17991.0,1.826,1235.0,18.0,1.571,0.047,0.00010684,0.99989
826762908.0,Existing Customer,52.0,M,3.0,High School,Unknown,$80K - $120K,Blue,48.0,3.0,2.0,0.0,11976.0,1273.0,10703.0,1.024,2089.0,36.0,1.118,0.106,4.2354e-05,0.99996
771894558.0,Existing Customer,50.0,M,3.0,High School,Single,$80K - $120K,Blue,39.0,4.0,1.0,4.0,9964.0,1559.0,8405.0,1.873,1626.0,25.0,0.786,0.156,0.00015942,0.99984
721074183.0,Existing Customer,,M,1.0,Doctorate,Married,$60K - $80K,Blue,36.0,4.0,6.0,,24159.0,1196.0,22963.0,0.712,1111.0,24.0,1.0,,0.00032436,0.99968
,Existing Customer,53.0,F,,High School,Married,Less than $40K,Blue,44.0,3.0,2.0,3.0,5362.0,1901.0,3461.0,0.816,1553.0,38.0,,0.355,0.0001861,0.99981
718414008.0,Existing Customer,50.0,M,2.0,Graduate,Single,$120K +,Blue,36.0,3.0,2.0,2.0,34516.0,1023.0,33493.0,1.004,1064.0,13.0,0.625,0.03,0.00011382,0.99989
719666283.0,,55.0,F,1.0,Doctorate,Married,Less than $40K,Blue,36.0,,1.0,0.0,3174.0,1951.0,1223.0,0.766,1243.0,29.0,0.611,0.615,2.7596e-05,0.99997
714877233.0,Existing Customer,53.0,M,1.0,High School,Married,$80K - $120K,Blue,47.0,,2.0,2.0,12262.0,1836.0,10426.0,1.584,1659.0,38.0,1.533,0.15,,0.9999
785387883.0,Existing Customer,47.0,F,3.0,High School,Single,$40K - $60K,Blue,41.0,4.0,3.0,3.0,3788.0,1540.0,2248.0,0.566,1594.0,47.0,0.382,0.407,0.00030516,0.99969
771075258.0,Existing Customer,55.0,M,2.0,College,Single,$120K +,Silver,42.0,2.0,3.0,2.0,34516.0,1527.0,32989.0,0.526,1268.0,42.0,0.355,0.044,0.00015801,0.99984
711318033.0,Existing Customer,47.0,M,3.0,Graduate,Single,$60K - $80K,Blue,36.0,4.0,2.0,2.0,2926.0,0.0,2926.0,0.676,1304.0,24.0,0.846,0.0,0.00011811,0.99988
783554958.0,Existing Customer,58.0,M,4.0,Graduate,Single,$120K +,Blue,52.0,6.0,1.0,0.0,32090.0,0.0,32090.0,0.567,1368.0,30.0,0.364,0.0,2.1307e-05,0.99998
720201033.0,Attrited Customer,53.0,M,2.0,Graduate,Married,$80K - $120K,Blue,41.0,3.0,3.0,2.0,11669.0,2227.0,9442.0,0.622,720.0,23.0,0.353,0.191,0.99447,0.00553
718039683.0,Existing Customer,52.0,M,2.0,High School,Single,$40K - $60K,Blue,45.0,3.0,1.0,2.0,13532.0,1300.0,12232.0,0.846,1521.0,29.0,1.417,0.096,5.3542e-05,0.99995
710806083.0,Existing Customer,50.0,F,1.0,Uneducated,Unknown,Less than $40K,Silver,36.0,4.0,2.0,2.0,11888.0,2090.0,9798.0,0.7,1137.0,30.0,0.765,0.176,9.9255e-05,0.9999
